main_category_id,main_category,subcategory,service,serviceLink,content_file,sub_category_id,service_id
1,Education & Training,Vocational Education & Training,Obtaining Necessary Services under Different Field from the Production Units,https://gic.gov.lk/gic/index.php/en/component/info/?id=783&catid=16&task=info,service_md_1/Obtaining_Necessary_Services_under_Different_Field_from_the_Production_Units.md,16,783
1,Education & Training,Vocational Education & Training,Improving of International Cooperation for Development of Technical Education.,https://gic.gov.lk/gic/index.php/en/component/info/?id=820&catid=16&task=info,service_md_1/Improving_of_International_Cooperation_for_Development_of_Technical_Education_.md,16,820
1,Education & Training,Vocational Education & Training,National School of Business Management Limited (NSBM),https://gic.gov.lk/gic/index.php/en/component/info/?id=2254&catid=16&task=info,service_md_1/National_School_of_Business_Management_Limited__NSBM_.md,16,2254
1,Education & Training,Vocational Education & Training,Awareness Programme for Entrepreneurship Development,https://gic.gov.lk/gic/index.php/en/component/info/?id=619&catid=16&task=info,service_md_1/Awareness_Programme_for_Entrepreneurship_Development.md,16,619
1,Education & Training,Vocational Education & Training,Vocational Education Training (VET) Plans,https://gic.gov.lk/gic/index.php/en/component/info/?id=943&catid=16&task=info,service_md_1/Vocational_Education_Training__VET__Plans.md,16,943
1,Education & Training,Education for Differently-abled,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=17&task=info,service_md_1/Payment_of_Examination_Fees.md,17,742
1,Education & Training,Distance Education,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=18&task=info,service_md_1/Payment_of_Examination_Fees.md,18,742
1,Education & Training,Education for Government Officers,Payment of Examination Fees,https://gic.gov.lk/gic/index.php/en/component/info/?id=742&catid=20&task=info,service_md_1/Payment_of_Examination_Fees.md,20,742
1,Education & Training,Education for Government Officers,Official Languages Proficiencies Exam,https://gic.gov.lk/gic/index.php/en/component/info/?id=601&catid=20&task=info,-,20,601
1,Education & Training,Education for Government Officers,Courses for Human Resource Management,https://gic.gov.lk/gic/index.php/en/component/info/?id=2114&catid=20&task=info,service_md_1/Courses_for_Human_Resource_Management.md,20,2114
1,Education & Training,Education for Government Officers,Proficiencies Exam for Other Languages,https://gic.gov.lk/gic/index.php/en/component/info/?id=606&catid=20&task=info,-,20,606
1,Education & Training,Education for Government Officers,Courses for Labour Law & Industrial Relations,https://gic.gov.lk/gic/index.php/en/component/info/?id=2113&catid=20&task=info,service_md_1/Courses_for_Labour_Law___Industrial_Relations.md,20,2113
1,Education & Training,Education for Government Officers,Courses for Workplace Productivity,https://gic.gov.lk/gic/index.php/en/component/info/?id=2115&catid=20&task=info,service_md_1/Courses_for_Workplace_Productivity.md,20,2115
1,Education & Training,Education for Government Officers,Language Training,https://gic.gov.lk/gic/index.php/en/component/info/?id=2121&catid=20&task=info,service_md_1/Language_Training.md,20,2121
1,Education & Training,Education for Government Officers,Conducting Examinations,https://gic.gov.lk/gic/index.php/en/component/info/?id=2118&catid=20&task=info,service_md_1/Conducting_Examinations.md,20,2118
1,Education & Training,Education for Government Officers,On Demand Training,https://gic.gov.lk/gic/index.php/en/component/info/?id=2120&catid=20&task=info,service_md_1/On_Demand_Training.md,20,2120
1,Education & Training,Education for Government Officers,Consultancy,https://gic.gov.lk/gic/index.php/en/component/info/?id=2117&catid=20&task=info,service_md_1/Consultancy.md,20,2117
