main_category_id,main_category,subcategory,service,serviceLink
1,Education & Training,Education for Government Officers,Official Languages Proficiencies Exam,https://gic.gov.lk/gic/index.php/en/component/info/?id=601&catid=20&task=info
1,Education & Training,Education for Government Officers,Courses for Human Resource Management,https://gic.gov.lk/gic/index.php/en/component/info/?id=2114&catid=20&task=info
1,Education & Training,Education for Government Officers,Proficiencies Exam for Other Languages,https://gic.gov.lk/gic/index.php/en/component/info/?id=606&catid=20&task=info
1,Education & Training,Education for Government Officers,Courses for Labour Law & Industrial Relations,https://gic.gov.lk/gic/index.php/en/component/info/?id=2113&catid=20&task=info
1,Education & Training,Education for Government Officers,Courses for Workplace Productivity,https://gic.gov.lk/gic/index.php/en/component/info/?id=2115&catid=20&task=info
1,Education & Training,Education for Government Officers,Language Training,https://gic.gov.lk/gic/index.php/en/component/info/?id=2121&catid=20&task=info
1,Education & Training,Education for Government Officers,Conducting Examinations,https://gic.gov.lk/gic/index.php/en/component/info/?id=2118&catid=20&task=info
1,Education & Training,Education for Government Officers,On Demand Training,https://gic.gov.lk/gic/index.php/en/component/info/?id=2120&catid=20&task=info
1,Education & Training,Education for Government Officers,Consultancy,https://gic.gov.lk/gic/index.php/en/component/info/?id=2117&catid=20&task=info
1,Education & Training,Education for Government Officers,Research,https://gic.gov.lk/gic/index.php/en/component/info/?id=2116&catid=20&task=info
2,"Housing, Property & Utilities",Infrastructure,Sales of Sea Sand,https://gic.gov.lk/gic/index.php/en/component/info/?id=1804&catid=75&task=info
2,"Housing, Property & Utilities",Infrastructure,Maintaining Continuous Operation at Pumping Stations in Urban Housing Projects,https://gic.gov.lk/gic/index.php/en/component/info/?id=669&catid=75&task=info
2,"Housing, Property & Utilities",Infrastructure,Rural Development Programme,https://gic.gov.lk/gic/index.php/en/component/info/?id=499&catid=75&task=info
2,"Housing, Property & Utilities",Infrastructure,Infrastructure Development in the Lagging Regions of Plantation Areas,https://gic.gov.lk/gic/index.php/en/component/info/?id=2283&catid=75&task=info
